travelCode,user_id,Pickup_Location,rental_date,duration,return_date,Car_Id,total_amount,Duration_Hours,Total_Minutes,Days,Hours,Formatted_Duration,Duration_Days
0,0,Visakhapatnam,2019-09-26 05:48:00,5,01-10-2019 05:48,9818,50350,120,7200,5,0,5 days 0 hours,5.0
2,0,Shillong,2019-10-10 02:43:00,0,10-10-2019 05:43,6755,8876,3,180,0,3,0 days 3 hours,0.125
7,0,Ranchi,2019-11-14 02:59:00,6,20-11-2019 02:59,331,57288,144,8640,6,0,6 days 0 hours,6.0
11,0,Raigarh,2019-12-12 19:40:00,4,16-12-2019 19:40,4288,25040,96,5760,4,0,4 days 0 hours,4.0
13,0,Kolkata,2019-12-26 20:26:00,6,01-01-2020 20:26,6287,37320,144,8640,6,0,6 days 0 hours,6.0
15,0,Amritsar,2020-09-01 11:57:00,6,07-09-2020 11:57,6972,57648,144,8640,6,0,6 days 0 hours,6.0
22,0,Pune,2020-02-27 19:40:00,2,29-02-2020 19:40,1418,19940,48,2880,2,0,2 days 0 hours,2.0
29,0,Mumbai,2020-04-16 22:50:00,2,18-04-2020 22:50,10740,18960,48,2880,2,0,2 days 0 hours,2.0
32,0,Mumbai,2020-07-05 19:01:00,5,10-07-2020 19:01,10641,39240,120,7200,5,0,5 days 0 hours,5.0
33,0,Raipur,2020-05-14 18:48:00,4,18-05-2020 18:48,2619,28264,96,5760,4,0,4 days 0 hours,4.0
34,0,Raigarh,2020-05-21 10:19:00,3,24-05-2020 10:19,4306,24540,72,4320,3,0,3 days 0 hours,3.0
38,0,Srinagar,2020-06-18 20:22:00,1,19-06-2020 20:22,5396,9716,24,1440,1,0,1 days 0 hours,1.0
39,0,Delhi NCR,2020-06-25 15:18:00,2,27-06-2020 15:18,5548,17616,48,2880,2,0,2 days 0 hours,2.0
42,0,Raipur,2020-07-16 03:31:00,2,18-07-2020 03:31,2753,18032,48,2880,2,0,2 days 0 hours,2.0
43,0,Ludhiana,2020-07-24 01:58:00,1,25-07-2020 01:58,4144,7460,24,1440,1,0,1 days 0 hours,1.0
45,0,Raigarh,2020-06-08 06:47:00,4,12-06-2020 06:47,4358,64288,96,5760,4,0,4 days 0 hours,4.0
51,0,Raipur,2020-09-17 03:46:00,2,19-09-2020 03:46,2703,12040,48,2880,2,0,2 days 0 hours,2.0
53,0,Indore,2020-01-10 10:40:00,1,11-01-2020 10:40,10026,7380,24,1440,1,0,1 days 0 hours,1.0
54,0,Shillong,2020-08-10 19:38:00,2,12-08-2020 19:38,6768,16320,48,2880,2,0,2 days 0 hours,2.0
55,0,Khowai,2020-10-15 15:19:00,6,21-10-2020 15:19,1091,50088,144,8640,6,0,6 days 0 hours,6.0
57,0,Visakhapatnam,2020-10-29 21:48:00,4,02-11-2020 21:48,9901,50800,96,5760,4,0,4 days 0 hours,4.0
60,0,Indore,2020-11-19 20:01:00,4,23-11-2020 20:01,10075,28304,96,5760,4,0,4 days 0 hours,4.0
65,0,Gwalior,2020-12-24 02:49:00,5,29-12-2020 02:49,1837,62580,120,7200,5,0,5 days 0 hours,5.0
73,0,Ahmedabad,2021-02-18 15:57:00,4,22-02-2021 15:57,786,39920,96,5760,4,0,4 days 0 hours,4.0
81,0,Prayagraj,2021-04-15 06:48:00,4,19-04-2021 06:48,3757,57664,96,5760,4,0,4 days 0 hours,4.0
86,0,Dhubri,2021-05-21 01:29:00,7,28-05-2021 01:29,6129,69692,168,10080,7,0,7 days 0 hours,7.0
87,0,Ahmedabad,2021-05-27 05:13:00,5,01-06-2021 05:13,681,41990,120,7200,5,0,5 days 0 hours,5.0
90,1,Chandigarh,2019-03-10 09:12:00,3,13-03-2019 09:12,9165,33792,72,4320,3,0,3 days 0 hours,3.0
92,1,Puri,2019-10-17 13:32:00,3,20-10-2019 13:32,4710,42618,72,4320,3,0,3 days 0 hours,3.0
100,2,Kullu-Manali,2019-10-31 03:17:00,6,06-11-2019 03:17,7489,52836,144,8640,6,0,6 days 0 hours,6.0
101,2,Amritsar,2019-07-11 14:37:00,3,14-07-2019 14:37,6891,25644,72,4320,3,0,3 days 0 hours,3.0
105,2,Mysuru,2019-05-12 14:57:00,5,17-05-2019 14:57,10246,44730,120,7200,5,0,5 days 0 hours,5.0
108,2,Visakhapatnam,2019-12-26 21:37:00,5,31-12-2019 21:37,9819,35830,120,7200,5,0,5 days 0 hours,5.0
109,2,Khowai,2020-02-01 21:38:00,2,03-02-2020 21:38,1111,11704,48,2880,2,0,2 days 0 hours,2.0
110,2,Surat,2020-09-01 06:38:00,4,05-09-2020 06:38,8578,50880,96,5760,4,0,4 days 0 hours,4.0
112,2,Srinagar,2020-01-23 20:51:00,3,26-01-2020 20:51,5213,26388,72,4320,3,0,3 days 0 hours,3.0
116,2,Shimla,2020-02-20 14:14:00,4,24-02-2020 14:14,9372,37632,96,5760,4,0,4 days 0 hours,4.0
117,2,Amritsar,2020-02-27 23:28:00,7,05-03-2020 23:28,6966,81872,168,10080,7,0,7 days 0 hours,7.0
119,2,Guwahati,2020-12-03 07:05:00,2,05-12-2020 07:05,2256,10604,48,2880,2,0,2 days 0 hours,2.0
122,2,Mumbai,2020-02-04 19:41:00,5,09-02-2020 19:41,10727,36600,120,7200,5,0,5 days 0 hours,5.0
124,2,Puducherry,2020-04-16 09:30:00,4,20-04-2020 09:30,2834,31824,96,5760,4,0,4 days 0 hours,4.0
125,2,Varanasi,2020-04-23 18:55:00,7,30-04-2020 18:55,5952,47488,168,10080,7,0,7 days 0 hours,7.0
135,2,Kullu-Manali,2020-02-07 22:07:00,3,10-02-2020 22:07,7541,41100,72,4320,3,0,3 days 0 hours,3.0
137,2,Mysuru,2020-07-16 18:31:00,5,21-07-2020 18:31,10271,26010,120,7200,5,0,5 days 0 hours,5.0
150,2,Hyderabad,2020-10-15 11:13:00,3,18-10-2020 11:13,814,27762,72,4320,3,0,3 days 0 hours,3.0
153,2,Khowai,2020-05-11 04:22:00,5,16-05-2020 04:22,1195,47880,120,7200,5,0,5 days 0 hours,5.0
156,2,Mopa,2020-11-26 20:23:00,1,27-11-2020 20:23,3490,11610,24,1440,1,0,1 days 0 hours,1.0
160,2,Srinagar,2020-12-24 19:28:00,2,26-12-2020 19:28,5379,19432,48,2880,2,0,2 days 0 hours,2.0
165,2,Diu,2021-01-28 03:26:00,5,02-02-2021 03:26,8936,35260,120,7200,5,0,5 days 0 hours,5.0
177,2,Bengaluru,2021-04-22 03:53:00,6,28-04-2021 03:53,2156,55296,144,8640,6,0,6 days 0 hours,6.0
180,2,Gangtok,2021-05-13 11:14:00,2,15-05-2021 11:14,6552,13568,48,2880,2,0,2 days 0 hours,2.0
187,2,Udaipur,2021-01-07 10:34:00,6,13-01-2021 10:34,8639,30612,144,8640,6,0,6 days 0 hours,6.0
188,2,Kota,2021-08-07 14:03:00,4,11-08-2021 14:03,8273,29064,96,5760,4,0,4 days 0 hours,4.0
189,2,Jaipur,2021-07-15 19:45:00,3,18-07-2021 19:45,7294,30612,72,4320,3,0,3 days 0 hours,3.0
192,2,Thiruvananthapuram,2021-05-08 05:22:00,1,09-05-2021 05:22,8100,8380,24,1440,1,0,1 days 0 hours,1.0
197,2,Bhubaneswar,2021-09-09 01:19:00,7,16-09-2021 01:19,7809,55692,168,10080,7,0,7 days 0 hours,7.0
201,2,Ranchi,2021-07-11 01:17:00,7,18-07-2021 01:17,310,99792,168,10080,7,0,7 days 0 hours,7.0
205,2,Dabolim,2021-04-11 03:22:00,6,17-04-2021 03:22,431,30912,144,8640,6,0,6 days 0 hours,6.0
211,2,Raigarh,2021-12-16 13:08:00,4,20-12-2021 13:08,4349,42784,96,5760,4,0,4 days 0 hours,4.0
213,2,Vadodara,2021-12-30 16:16:00,4,03-01-2022 16:16,3937,41456,96,5760,4,0,4 days 0 hours,4.0
214,2,Ludhiana,2022-06-01 21:30:00,6,07-06-2022 21:30,4185,64536,144,8640,6,0,6 days 0 hours,6.0
219,2,Varanasi,2022-10-02 02:00:00,3,05-10-2022 02:00,5949,32088,72,4320,3,0,3 days 0 hours,3.0
221,2,Mumbai,2022-02-24 13:52:00,7,03-03-2022 13:52,10674,57792,168,10080,7,0,7 days 0 hours,7.0
224,2,Ayodhya,2022-03-17 16:25:00,4,21-03-2022 16:25,7794,42224,96,5760,4,0,4 days 0 hours,4.0
225,2,Guwahati,2022-03-24 03:38:00,4,28-03-2022 03:38,2283,32064,96,5760,4,0,4 days 0 hours,4.0
233,3,Dehradun,2019-11-14 09:28:00,5,19-11-2019 09:28,5066,38150,120,7200,5,0,5 days 0 hours,5.0
235,3,Varanasi,2019-11-28 22:06:00,5,03-12-2019 22:06,5982,100540,120,7200,5,0,5 days 0 hours,5.0
238,3,Dhubri,2019-12-19 18:08:00,4,23-12-2019 18:08,6075,28104,96,5760,4,0,4 days 0 hours,4.0
239,3,Coimbatore,2019-12-26 09:03:00,2,28-12-2019 09:03,16,10104,48,2880,2,0,2 days 0 hours,2.0
240,3,Udaipur,2020-02-01 08:34:00,7,08-02-2020 08:34,8694,71428,168,10080,7,0,7 days 0 hours,7.0
241,3,Mopa,2020-09-01 17:07:00,2,03-09-2020 17:07,3560,13568,48,2880,2,0,2 days 0 hours,2.0
243,3,Kota,2020-01-23 14:50:00,6,29-01-2020 14:50,8238,84732,144,8640,6,0,6 days 0 hours,6.0
244,3,Gwalior,2020-01-30 21:34:00,2,01-02-2020 21:34,1893,19192,48,2880,2,0,2 days 0 hours,2.0
246,3,Prayagraj,2020-02-13 17:52:00,4,17-02-2020 17:52,3626,29320,96,5760,4,0,4 days 0 hours,4.0
248,3,Varanasi,2020-02-28 01:00:00,7,06-03-2020 01:00,5938,83440,168,10080,7,0,7 days 0 hours,7.0
255,3,Nashik,2020-04-16 13:36:00,0,16-04-2020 18:36,3296,5852,5,300,0,5,0 days 5 hours,0.208333333
259,3,Ayodhya,2020-05-14 12:30:00,3,17-05-2020 12:30,7667,21798,72,4320,3,0,3 days 0 hours,3.0
263,3,Srinagar,2020-11-06 10:11:00,6,12-11-2020 10:11,5246,53976,144,8640,6,0,6 days 0 hours,6.0
269,3,Udaipur,2020-07-23 15:27:00,2,25-07-2020 15:27,8713,16232,48,2880,2,0,2 days 0 hours,2.0
275,3,Patna,2020-03-10 01:22:00,3,13-03-2020 01:22,10534,33312,72,4320,3,0,3 days 0 hours,3.0
279,3,Jamshedpur,2020-01-10 12:08:00,4,14-01-2020 12:08,3189,45584,96,5760,4,0,4 days 0 hours,4.0
283,3,Puducherry,2020-10-30 00:58:00,6,05-11-2020 00:58,2888,37260,144,8640,6,0,6 days 0 hours,6.0
287,3,Nashik,2020-11-26 07:11:00,3,29-11-2020 07:11,3233,21198,72,4320,3,0,3 days 0 hours,3.0
290,3,Srinagar,2020-12-17 14:51:00,0,18-12-2020 05:51,5367,7820,15,900,0,15,0 days 15 hours,0.625
291,3,Kolkata,2020-12-24 22:38:00,6,30-12-2020 22:38,6326,65376,144,8640,6,0,6 days 0 hours,6.0
295,3,Kota,2021-01-21 13:42:00,7,28-01-2021 13:42,8341,95200,168,10080,7,0,7 days 0 hours,7.0
296,3,Nashik,2021-01-28 15:00:00,6,03-02-2021 15:00,3220,43980,144,8640,6,0,6 days 0 hours,6.0
299,3,Dehradun,2021-02-18 23:59:00,3,21-02-2021 23:59,5063,16410,72,4320,3,0,3 days 0 hours,3.0
300,3,Guwahati,2021-02-25 07:21:00,2,27-02-2021 07:21,2354,19912,48,2880,2,0,2 days 0 hours,2.0
303,3,Patna,2021-03-18 07:54:00,0,18-03-2021 20:54,10567,7820,13,780,0,13,0 days 13 hours,0.541666667
305,3,Gwalior,2021-01-04 11:13:00,5,09-01-2021 11:13,1888,31300,120,7200,5,0,5 days 0 hours,5.0
306,3,Raipur,2021-08-04 06:33:00,3,07-08-2021 06:33,2761,31044,72,4320,3,0,3 days 0 hours,3.0
307,3,Pune,2021-04-15 23:30:00,6,21-04-2021 23:30,1569,64536,144,8640,6,0,6 days 0 hours,6.0
311,3,Varanasi,2021-05-13 13:22:00,7,20-05-2021 13:22,5878,100254,168,10080,7,0,7 days 0 hours,7.0
315,3,Imphal,2021-10-06 17:29:00,6,12-10-2021 17:29,9580,59880,144,8640,6,0,6 days 0 hours,6.0
322,3,Khowai,2021-07-30 00:09:00,6,05-08-2021 00:09,1058,61020,144,8640,6,0,6 days 0 hours,6.0
325,3,Srinagar,2021-08-19 16:25:00,6,25-08-2021 16:25,5248,33960,144,8640,6,0,6 days 0 hours,6.0
