sentiment,negative reviews
negative,Worst rental ever! The frustrating was pickup process and the return policy ruined my trip.
negative,"Had high hopes, but the awful was mileage limit and the upgrade options was disappointing."
negative,"The rental experience was bad. The GPS availability was awful, and the waiting time was unacceptable."
negative,"I can't believe how frustrating this rental was. The vehicle condition was a mess, and the customer service was unacceptable."
negative,"I can't believe how disappointing this rental was. The fuel policy was a mess, and the hidden fees was unacceptable."
negative,"I can't believe how unacceptable this rental was. The fuel policy was a mess, and the pricing was unacceptable."
negative,"I can't believe how bad this rental was. The insurance options was a mess, and the booking ease was unacceptable."
negative,Worst rental ever! The poor was tire condition and the booking ease ruined my trip.
negative,A huge disappointment. The poor was roadside assistance and the waiting time was below standard.
negative,"I regret choosing this company. The disappointing was so car cleanliness, and the hidden fees made it worse."
negative,It was a disaster! The dreadful was booking ease and the return policy was simply awful.
negative,A huge disappointment. The miserable was hidden fees and the roadside assistance was below standard.
negative,"Had high hopes, but the terrible was return policy and the booking ease was disappointing."
negative,Never renting from them again! The poor was completely waiting time and the insurance options was miserable.
negative,It was a disaster! The bad was tire condition and the vehicle condition was simply awful.
negative,Do yourself a favor and rent elsewhere. The poor was waiting time and the return policy was the worst.
negative,"I regret choosing this company. The unacceptable was so customer service, and the deposit policy made it worse."
negative,Never renting from them again! The unacceptable was completely return policy and the pricing was miserable.
negative,Never renting from them again! The poor was completely vehicle condition and the drop-off experience was miserable.
negative,"I regret choosing this company. The awful was so hidden fees, and the return policy made it worse."
negative,"I regret choosing this company. The unacceptable was so upgrade options, and the tire condition made it worse."
negative,"I can't believe how poor this rental was. The staff professionalism was a mess, and the deposit policy was unacceptable."
negative,It was a disaster! The dreadful was GPS availability and the roadside assistance was simply awful.
negative,"I can't believe how bad this rental was. The return policy was a mess, and the staff professionalism was unacceptable."
negative,"I can't believe how dreadful this rental was. The car cleanliness was a mess, and the mileage limit was unacceptable."
negative,Worst rental ever! The frustrating was air conditioning and the drop-off experience ruined my trip.
negative,Do yourself a favor and rent elsewhere. The horrible was vehicle condition and the car cleanliness was the worst.
negative,A huge disappointment. The poor was hidden fees and the waiting time was below standard.
negative,"Had high hopes, but the poor was deposit policy and the roadside assistance was disappointing."
negative,"I can't believe how miserable this rental was. The air conditioning was a mess, and the staff professionalism was unacceptable."
negative,"I regret choosing this company. The unacceptable was so mileage limit, and the booking ease made it worse."
negative,"Had high hopes, but the horrible was GPS availability and the deposit policy was disappointing."
negative,"The rental experience was terrible. The fuel policy was awful, and the drop-off experience was unacceptable."
negative,Do yourself a favor and rent elsewhere. The terrible was pricing and the customer service was the worst.
negative,"I can't believe how miserable this rental was. The pickup process was a mess, and the drop-off experience was unacceptable."
negative,"The rental experience was miserable. The customer service was awful, and the deposit policy was unacceptable."
negative,Worst rental ever! The horrible was deposit policy and the insurance options ruined my trip.
negative,"I regret choosing this company. The terrible was so tire condition, and the pricing made it worse."
negative,It was a disaster! The disappointing was hidden fees and the pickup process was simply awful.
negative,"Had high hopes, but the dreadful was air conditioning and the mileage limit was disappointing."
negative,A huge disappointment. The bad was return policy and the vehicle condition was below standard.
negative,Avoid this rental service! The frustrating was waiting time and the vehicle condition was a nightmare.
negative,Do yourself a favor and rent elsewhere. The bad was mileage limit and the waiting time was the worst.
negative,"Had high hopes, but the terrible was waiting time and the pickup process was disappointing."
negative,"I regret choosing this company. The terrible was so fuel policy, and the car cleanliness made it worse."
negative,Worst rental ever! The terrible was mileage limit and the upgrade options ruined my trip.
negative,Do yourself a favor and rent elsewhere. The disappointing was fuel policy and the waiting time was the worst.
negative,"Had high hopes, but the dreadful was upgrade options and the tire condition was disappointing."
negative,"The rental experience was disappointing. The waiting time was awful, and the pricing was unacceptable."
negative,"I can't believe how dreadful this rental was. The deposit policy was a mess, and the booking ease was unacceptable."
negative,"I regret choosing this company. The miserable was so tire condition, and the mileage limit made it worse."
negative,"I can't believe how frustrating this rental was. The air conditioning was a mess, and the vehicle condition was unacceptable."
negative,"The rental experience was frustrating. The fuel policy was awful, and the air conditioning was unacceptable."
negative,"Had high hopes, but the awful was hidden fees and the customer service was disappointing."
negative,A huge disappointment. The miserable was insurance options and the drop-off experience was below standard.
negative,"I can't believe how awful this rental was. The deposit policy was a mess, and the GPS availability was unacceptable."
negative,"The rental experience was bad. The waiting time was awful, and the drop-off experience was unacceptable."
negative,"Had high hopes, but the frustrating was hidden fees and the fuel policy was disappointing."
negative,Avoid this rental service! The terrible was drop-off experience and the pickup process was a nightmare.
negative,It was a disaster! The horrible was fuel policy and the vehicle condition was simply awful.
negative,"I regret choosing this company. The terrible was so car cleanliness, and the fuel policy made it worse."
negative,A huge disappointment. The unacceptable was tire condition and the staff professionalism was below standard.
negative,"The rental experience was awful. The booking ease was awful, and the vehicle condition was unacceptable."
negative,"I regret choosing this company. The terrible was so mileage limit, and the pricing made it worse."
negative,"The rental experience was awful. The pricing was awful, and the waiting time was unacceptable."
negative,"Had high hopes, but the bad was GPS availability and the air conditioning was disappointing."
negative,A huge disappointment. The terrible was staff professionalism and the air conditioning was below standard.
negative,Do yourself a favor and rent elsewhere. The bad was car cleanliness and the tire condition was the worst.
negative,Never renting from them again! The miserable was completely hidden fees and the mileage limit was miserable.
negative,"I regret choosing this company. The miserable was so air conditioning, and the return policy made it worse."
negative,It was a disaster! The awful was pricing and the staff professionalism was simply awful.
negative,A huge disappointment. The dreadful was mileage limit and the waiting time was below standard.
negative,Worst rental ever! The unacceptable was pickup process and the staff professionalism ruined my trip.
negative,A huge disappointment. The unacceptable was car cleanliness and the pickup process was below standard.
negative,"I regret choosing this company. The miserable was so pickup process, and the tire condition made it worse."
negative,Never renting from them again! The awful was completely mileage limit and the fuel policy was miserable.
negative,"Had high hopes, but the unacceptable was staff professionalism and the vehicle condition was disappointing."
negative,Never renting from them again! The miserable was completely insurance options and the staff professionalism was miserable.
negative,"I regret choosing this company. The horrible was so staff professionalism, and the deposit policy made it worse."
negative,"I regret choosing this company. The poor was so upgrade options, and the drop-off experience made it worse."
negative,Avoid this rental service! The horrible was booking ease and the GPS availability was a nightmare.
negative,Never renting from them again! The bad was completely mileage limit and the booking ease was miserable.
negative,"I regret choosing this company. The disappointing was so car cleanliness, and the GPS availability made it worse."
negative,"I can't believe how bad this rental was. The booking ease was a mess, and the pricing was unacceptable."
negative,Avoid this rental service! The disappointing was upgrade options and the pickup process was a nightmare.
negative,"The rental experience was disappointing. The pickup process was awful, and the waiting time was unacceptable."
negative,"I regret choosing this company. The bad was so upgrade options, and the customer service made it worse."
negative,It was a disaster! The terrible was roadside assistance and the upgrade options was simply awful.
negative,It was a disaster! The dreadful was fuel policy and the pickup process was simply awful.
negative,Avoid this rental service! The awful was deposit policy and the return policy was a nightmare.
negative,Never renting from them again! The poor was completely GPS availability and the drop-off experience was miserable.
negative,"The rental experience was poor. The vehicle condition was awful, and the fuel policy was unacceptable."
negative,Do yourself a favor and rent elsewhere. The miserable was booking ease and the air conditioning was the worst.
negative,It was a disaster! The disappointing was waiting time and the pickup process was simply awful.
