Car_Id,Make,Model,Car Type,Mileage,Year of Manufacture,Price per day,City,Agency_Name,Base_Fare,LocationID
1,Volkswagen,Volkswagen Tiguan,SUV,15 kmpl,2007,7500,Coimbatore,Budget Wheels Coimbatore,900,1
2,Volkswagen,Volkswagen Taigun,SUV,19.20 kmpl (1.0 TSI Manual),2021,6500,Coimbatore,Budget Wheels Coimbatore,900,1
3,Volkswagen,Volkswagen Passat,Sedan,18 kmpl,2010,5800,Coimbatore,Budget Wheels Coimbatore,900,1
4,Volkswagen,Volkswagen Virtus,Sedan,20 kmpl,2018,5500,Coimbatore,Budget Wheels Coimbatore,900,1
5,Volkswagen,Volkswagen Arteon,Luxury,14 kmpl,2017,9000,Coimbatore,Budget Wheels Coimbatore,900,1
6,Volkswagen,Volkswagen Touareg,Luxury,12 kmpl,2002,10000,Coimbatore,Budget Wheels Coimbatore,900,1
7,Volkswagen,Volkswagen Polo,Hatchback,18 kmpl,2019,4000,Coimbatore,Budget Wheels Coimbatore,900,1
8,Volkswagen,Volkswagen Golf,Hatchback,17 kmpl,2005,4500,Coimbatore,Budget Wheels Coimbatore,900,1
9,Toyota,Toyota Fortuner,SUV,12 kmpl,2004,7000,Coimbatore,Budget Wheels Coimbatore,900,1
10,Toyota,Toyota Land Cruiser,SUV,9 kmpl,2001,10000,Coimbatore,Budget Wheels Coimbatore,900,1
11,Toyota,Toyota Camry,Sedan,19 kmpl,2017,6500,Coimbatore,Budget Wheels Coimbatore,900,1
12,Toyota,Toyota Corolla,Sedan,18 kmpl,2011,5500,Coimbatore,Budget Wheels Coimbatore,900,1
13,Toyota,Toyota Crown,Luxury,12 kmpl,2008,8500,Coimbatore,Budget Wheels Coimbatore,900,1
14,Toyota,Toyota Mirai,Luxury,15 kmpl,2014,9000,Coimbatore,Budget Wheels Coimbatore,900,1
15,Toyota,Toyota Yaris,Hatchback,20 kmpl,2015,4500,Coimbatore,Budget Wheels Coimbatore,900,1
16,Toyota,Toyota Glanza,Hatchback,21 kmpl,2019,4000,Coimbatore,Budget Wheels Coimbatore,900,1
17,Ford,Ford Endeavour,SUV,12 kmpl,2003,8000,Coimbatore,Budget Wheels Coimbatore,900,1
18,Ford,Ford Bronco,SUV,10 kmpl,2024,8500,Coimbatore,Budget Wheels Coimbatore,900,1
19,Ford,Ford Fusion,Sedan,15 kmpl,2015,5000,Coimbatore,Budget Wheels Coimbatore,900,1
20,Ford,Ford Taurus,Sedan,14 kmpl,2022,5800,Coimbatore,Budget Wheels Coimbatore,900,1
21,Ford,Ford Mustang,Luxury,10 kmpl,1964,11000,Coimbatore,Budget Wheels Coimbatore,900,1
22,Ford,Ford GT,Luxury,7 kmpl,2004,17000,Coimbatore,Budget Wheels Coimbatore,900,1
23,Ford,Ford Fiesta,Hatchback,18 kmpl,2012,4000,Coimbatore,Budget Wheels Coimbatore,900,1
24,Ford,Ford Focus,Hatchback,17 kmpl,2018,4500,Coimbatore,Budget Wheels Coimbatore,900,1
25,Honda,Honda CR-V,SUV,14 kmpl,2020,7000,Coimbatore,Budget Wheels Coimbatore,900,1
26,Honda,Honda HR-V,SUV,16 kmpl,2018,6500,Coimbatore,Budget Wheels Coimbatore,900,1
27,Honda,Honda Accord,Sedan,17 kmpl,2013,6000,Coimbatore,Budget Wheels Coimbatore,900,1
28,Honda,Honda City,Sedan,19 kmpl,2012,5000,Coimbatore,Budget Wheels Coimbatore,900,1
29,Honda,Honda Legend,Luxury,12 kmpl,2001,7500,Coimbatore,Budget Wheels Coimbatore,900,1
30,Honda,Honda NSX,Luxury,10 kmpl,1999,12500,Coimbatore,Budget Wheels Coimbatore,900,1
31,Honda,Honda Jazz,Hatchback,18 kmpl,2001,4000,Coimbatore,Budget Wheels Coimbatore,900,1
32,Honda,Honda Brio,Hatchback,20 kmpl,2011,3500,Coimbatore,Budget Wheels Coimbatore,900,1
33,Hyundai,Hyundai Creta,SUV,18 kmpl,2014,6000,Coimbatore,Budget Wheels Coimbatore,900,1
34,Hyundai,Hyundai Tucson,SUV,15 kmpl,2004,7000,Coimbatore,Budget Wheels Coimbatore,900,1
35,Hyundai,Hyundai Verna,Sedan,19 kmpl,2018,5500,Coimbatore,Budget Wheels Coimbatore,900,1
36,Hyundai,Hyundai Elantra,Sedan,17 kmpl,2016,6000,Coimbatore,Budget Wheels Coimbatore,900,1
37,Hyundai,Hyundai Genesis G90,Luxury,10 kmpl,2015,11000,Coimbatore,Budget Wheels Coimbatore,900,1
38,Hyundai,Hyundai Palisade,Luxury,12 kmpl,2018,9000,Coimbatore,Budget Wheels Coimbatore,900,1
39,Hyundai,Hyundai i20,Hatchback,20 kmpl,2008,4000,Coimbatore,Budget Wheels Coimbatore,900,1
40,Hyundai,Hyundai Grand i10 Nios,Hatchback,21 kmpl,2019,3500,Coimbatore,Budget Wheels Coimbatore,900,1
41,Volkswagen,Volkswagen Tiguan,SUV,15 kmpl,2007,7500,Coimbatore,Smart Rentals Coimbatore,1100,1
42,Volkswagen,Volkswagen Taigun,SUV,19.20 kmpl (1.0 TSI Manual),2021,6500,Coimbatore,Smart Rentals Coimbatore,1100,1
43,Volkswagen,Volkswagen Passat,Sedan,18 kmpl,2010,5800,Coimbatore,Smart Rentals Coimbatore,1100,1
44,Volkswagen,Volkswagen Virtus,Sedan,20 kmpl,2018,5500,Coimbatore,Smart Rentals Coimbatore,1100,1
45,Volkswagen,Volkswagen Arteon,Luxury,14 kmpl,2017,9000,Coimbatore,Smart Rentals Coimbatore,1100,1
46,Volkswagen,Volkswagen Touareg,Luxury,12 kmpl,2002,10000,Coimbatore,Smart Rentals Coimbatore,1100,1
47,Volkswagen,Volkswagen Polo,Hatchback,18 kmpl,2019,4000,Coimbatore,Smart Rentals Coimbatore,1100,1
48,Volkswagen,Volkswagen Golf,Hatchback,17 kmpl,2005,4500,Coimbatore,Smart Rentals Coimbatore,1100,1
49,Toyota,Toyota Fortuner,SUV,12 kmpl,2004,7000,Coimbatore,Smart Rentals Coimbatore,1100,1
50,Toyota,Toyota Land Cruiser,SUV,9 kmpl,2001,10000,Coimbatore,Smart Rentals Coimbatore,1100,1
51,Toyota,Toyota Camry,Sedan,19 kmpl,2017,6500,Coimbatore,Smart Rentals Coimbatore,1100,1
52,Toyota,Toyota Corolla,Sedan,18 kmpl,2011,5500,Coimbatore,Smart Rentals Coimbatore,1100,1
53,Toyota,Toyota Crown,Luxury,12 kmpl,2008,8500,Coimbatore,Smart Rentals Coimbatore,1100,1
54,Toyota,Toyota Mirai,Luxury,15 kmpl,2014,9000,Coimbatore,Smart Rentals Coimbatore,1100,1
55,Toyota,Toyota Yaris,Hatchback,20 kmpl,2015,4500,Coimbatore,Smart Rentals Coimbatore,1100,1
56,Toyota,Toyota Glanza,Hatchback,21 kmpl,2019,4000,Coimbatore,Smart Rentals Coimbatore,1100,1
57,Ford,Ford Endeavour,SUV,12 kmpl,2003,8000,Coimbatore,Smart Rentals Coimbatore,1100,1
58,Ford,Ford Bronco,SUV,10 kmpl,2024,8500,Coimbatore,Smart Rentals Coimbatore,1100,1
