travelCode,User_ID,flightType,Flight_agency,Departure_date,Departure,Arrival,Flight Distance (km),Flight Duration (hh:mm),Departure Time,Arrival Time,flight_number
0,0,firstClass,GoAir,26/09/2019,Coimbatore,Visakhapatnam,1000.71,01:06,03:59,05:05,G84279
2,0,firstClass,IndiGo,10/10/2019,Ranchi,Shillong,709.8,00:47,01:02,01:49,6E4357O
7,0,economic,Air India,14/11/2019,Dabolim,Ranchi,1493.33,01:39,00:15,01:54,AI3905
11,0,premium,SpiceJet,12/12/2019,Ahmedabad,Raigarh,1117.55,01:14,17:35,18:49,SG2659K
13,0,firstClass,GoAir,26/12/2019,Hyderabad,Kolkata,1184.11,01:18,18:18,19:36,G83184
15,0,premium,IndiGo,01/09/2020,Khowai,Amritsar,1844.09,02:02,09:08,11:10,6E168
22,0,firstClass,SpiceJet,27/02/2020,Navi Mumbai,Pune,105.45,00:07,18:34,18:41,SG2054R
29,0,economic,Air India,16/04/2020,Pune,Mumbai,119.45,00:07,21:53,22:00,AI3866C
32,0,firstClass,Air India,05/07/2020,Khowai,Mumbai,2011.88,02:14,16:05,18:19,AI4803
33,0,premium,IndiGo,14/05/2020,Navi Mumbai,Raipur,932.05,01:02,16:44,17:46,6E4017
34,0,premium,IndiGo,21/05/2020,Vijayawada,Raigarh,665.24,00:44,08:45,09:29,6E1197
38,0,firstClass,AirAsia India,18/06/2020,Ahmedabad,Srinagar,1248.63,01:23,17:59,19:22,I53903
39,0,economic,IndiGo,25/06/2020,Gwalior,Delhi NCR,291.11,00:19,14:19,14:38,6E1740
42,0,premium,SpiceJet,16/07/2020,Bengaluru,Raipur,1013.79,01:07,01:39,02:46,SG1278
43,0,firstClass,Air India,23/07/2020,Hyderabad,Ludhiana,1527.08,01:41,23:16,00:57,AI1098S
45,0,premium,Air India,08/06/2020,Guwahati,Raigarh,972.28,01:04,04:49,05:53,AI3775
51,0,premium,IndiGo,17/09/2020,Hyderabad,Raipur,542.49,00:36,02:33,03:09,6E5786
53,0,premium,IndiGo,10/01/2020,Bilaspur,Indore,653.76,00:43,09:16,09:59,6E5849
54,0,firstClass,Air India,10/08/2020,Raipur,Shillong,1151.18,01:16,17:23,18:39,AI1767
55,0,firstClass,Akasa Air,15/10/2020,Puducherry,Khowai,1833.28,02:02,12:32,14:34,QP5828W
57,0,premium,Air India,29/10/2020,Jamshedpur,Visakhapatnam,649.06,00:43,20:14,20:57,AI1320
60,0,firstClass,SpiceJet,19/11/2020,Nashik,Indore,369.11,00:24,18:46,19:10,SG4365U
65,0,economic,IndiGo,24/12/2020,Mopa,Gwalior,7848.89,08:43,00:48,09:31,6E664
73,0,firstClass,AirAsia India,18/02/2021,Prayagraj,Ahmedabad,976.02,01:05,13:53,14:58,I54619G
81,0,economic,SpiceJet,15/04/2021,Khowai,Prayagraj,997.29,01:06,04:56,06:02,SG335J
86,0,premium,Akasa Air,20/05/2021,Prayagraj,Dhubri,817.97,00:54,23:30,00:24,QP3372
87,0,firstClass,Air India,27/05/2021,Vadodara,Ahmedabad,102.87,00:06,04:31,04:37,AI5811Y
90,1,premium,Air India,10/03/2019,Vijayawada,Chandigarh,1629.88,01:48,06:45,08:33,AI2285
92,1,premium,SpiceJet,17/10/2019,Ludhiana,Puri,1589.13,01:45,10:43,12:28,SG2081
100,2,economic,IndiGo,31/10/2019,Raigarh,Kullu-Manali,1269.92,01:24,00:55,02:19,6E4337
101,2,economic,SpiceJet,11/07/2019,Khowai,Amritsar,1844.09,02:02,11:53,13:55,SG1166
105,2,economic,Air India,12/05/2019,Bengaluru,Mysuru,127.83,00:08,14:06,14:14,AI4259
108,2,firstClass,Air India,26/12/2019,Chennai,Visakhapatnam,599.08,00:39,19:58,20:37,AI5066Q
109,2,firstClass,Air India,01/02/2020,Gwalior,Khowai,1372.52,01:31,19:12,20:43,AI3096
110,2,premium,IndiGo,01/09/2020,Puri,Surat,1361.96,01:30,04:02,05:32,6E4659
112,2,premium,IndiGo,23/01/2020,Ahmedabad,Srinagar,1248.63,01:23,18:42,20:05,6E628
116,2,economic,Akasa Air,20/02/2020,Khowai,Shimla,1622.0,01:48,11:23,13:11,QP5613
117,2,economic,SpiceJet,27/02/2020,Tirupati,Amritsar,2053.04,02:16,20:11,22:27,SG3959
119,2,firstClass,SpiceJet,03/12/2020,Ranchi,Guwahati,722.45,00:48,05:18,06:06,SG4402D
122,2,premium,Air India,04/02/2020,Dehradun,Mumbai,1354.5,01:30,17:09,18:39,AI3183
124,2,firstClass,Akasa Air,16/04/2020,Ahmedabad,Puducherry,1452.17,01:36,06:43,08:19,QP3580
125,2,premium,IndiGo,23/04/2020,Guwahati,Varanasi,880.0,00:58,17:13,18:11,6E1402
135,2,economic,IndiGo,07/02/2020,Puri,Kullu-Manali,1597.42,01:46,19:18,21:04,6E2189A
137,2,firstClass,SpiceJet,16/07/2020,Srinagar,Mysuru,2429.79,02:41,14:38,17:19,SG1114B
150,2,firstClass,Akasa Air,15/10/2020,Raipur,Hyderabad,542.49,00:36,09:48,10:24,QP4067
153,2,premium,IndiGo,11/05/2020,Delhi NCR,Khowai,1533.62,01:42,01:50,03:32,6E4546
156,2,firstClass,GoAir,26/11/2020,Vijayawada,Mopa,8136.79,09:02,18:30,03:32,G82651
160,2,economic,IndiGo,24/12/2020,Ahmedabad,Srinagar,1248.63,01:23,17:01,18:24,6E628
165,2,firstClass,AirAsia India,28/01/2021,Mopa,Diu,7107.13,07:53,01:55,09:48,I51429
177,2,premium,Akasa Air,22/04/2021,Ranchi,Bengaluru,1411.39,01:34,01:13,02:47,QP463
180,2,premium,Akasa Air,13/05/2021,Srinagar,Gangtok,1516.91,01:41,08:35,10:16,QP1224
187,2,premium,Air India,07/01/2021,Prayagraj,Udaipur,824.6,00:54,08:57,09:51,AI375
188,2,premium,Akasa Air,07/08/2021,Itanagar,Kota,4206.63,04:40,11:01,15:41,QP3485
189,2,firstClass,SpiceJet,15/07/2021,Varanasi,Jaipur,742.68,00:49,18:04,18:53,SG4267
192,2,economic,Air India,08/05/2021,Dhubri,Thiruvananthapuram,2386.89,02:39,01:37,04:16,AI1975
197,2,premium,Akasa Air,09/09/2021,Kolkata,Bhubaneswar,365.22,00:24,00:20,00:44,QP1964
201,2,firstClass,Akasa Air,10/07/2021,Mopa,Ranchi,8577.52,09:31,22:56,08:27,QP1235
205,2,firstClass,GoAir,11/04/2021,Gangtok,Dabolim,2023.14,02:14,00:06,02:20,G83117
211,2,economic,SpiceJet,16/12/2021,Shillong,Raigarh,955.13,01:03,11:21,12:24,SG3493
213,2,economic,Akasa Air,30/12/2021,Pune,Vadodara,425.67,00:28,14:54,15:22,QP726C
214,2,economic,IndiGo,01/06/2022,Vadodara,Ludhiana,993.03,01:06,19:41,20:47,6E5862
219,2,economic,Akasa Air,02/10/2022,Vadodara,Varanasi,1051.78,01:10,00:09,01:19,QP5321
221,2,economic,SpiceJet,24/02/2022,Srinagar,Mumbai,1680.16,01:52,11:03,12:55,SG142
224,2,premium,Air India,17/03/2022,Nashik,Ayodhya,1143.55,01:16,14:33,15:49,AI2420
225,2,premium,Air India,24/03/2022,Amritsar,Guwahati,1747.6,01:56,00:40,02:36,AI2075
233,3,firstClass,GoAir,14/11/2019,Bhopal,Dehradun,788.61,00:52,07:35,08:27,G81887
235,3,economic,Akasa Air,28/11/2019,Nashik,Varanasi,1115.16,01:14,20:04,21:18,QP2815
238,3,premium,SpiceJet,19/12/2019,Bengaluru,Dhubri,1944.48,02:09,15:01,17:10,SG5387
239,3,firstClass,GoAir,26/12/2019,Jaipur,Coimbatore,1773.86,01:58,05:59,07:57,G81621Y
240,3,economic,Akasa Air,01/02/2020,Chennai,Udaipur,1452.49,01:36,06:10,07:46,QP5284
241,3,premium,IndiGo,01/09/2020,Kullu-Manali,Mopa,7768.07,08:37,14:01,22:38,6E4966
243,3,firstClass,Air India,23/01/2020,Khowai,Kota,4061.53,04:30,12:09,16:39,AI2431
244,3,economic,Akasa Air,30/01/2020,Prayagraj,Gwalior,377.49,00:25,20:37,21:02,QP1821
246,3,economic,Air India,13/02/2020,Raipur,Prayagraj,468.78,00:31,16:30,17:01,AI2245
248,3,premium,Air India,27/02/2020,Dehradun,Varanasi,741.12,00:49,23:14,00:03,AI3139
255,3,firstClass,AirAsia India,16/04/2020,Raigarh,Nashik,1019.43,01:07,11:39,12:46,I5312
