travelCode,code,pickupLocation,dropoffLocation,carType,rentalAgency,pickupDateTime,dropoffDateTime,rentalDuration,price,totalDistance,fuelPolicy,bookingStatus
126191,195,Aliciabury,Lopezbury,Sedan,Enterprise,2025-01-19 02:43:34,2025-01-24 02:43:34,5,284.56,371,Prepaid,Cancelled
18474,1086,Edwardsborough,North Daniel,SUV,Sixt,2025-01-01 07:31:29,2025-01-03 07:31:29,2,176.83,461,Full-to-Full,Pending
90427,90,West Danielside,Riverafort,Sedan,Avis,2025-01-02 22:37:32,2025-01-05 22:37:32,3,236.79,383,Prepaid,Confirmed
123934,75,North Samantha,North Joseph,Luxury,Sixt,2025-01-16 18:57:49,2025-01-21 18:57:49,5,781.64,294,Partial,Pending
98809,300,Cobbview,Amandaburgh,Luxury,Sixt,2025-01-20 22:53:00,2025-01-25 22:53:00,5,597.22,488,Partial,Cancelled
63427,1238,Marioshire,Port John,SUV,Avis,2025-01-18 04:17:21,2025-01-21 04:17:21,3,487.05,126,Full-to-Full,Pending
1641,1103,Lake Nina,Jamesside,Sedan,Budget,2025-01-30 01:22:47,2025-02-04 01:22:47,5,510.17,95,Partial,Pending
50231,801,Richardmouth,New Ryan,Hatchback,Hertz,2025-01-08 14:20:51,2025-01-09 14:20:51,1,78.11,376,Partial,Confirmed
69268,985,New Kelly,Mendozahaven,SUV,Avis,2025-01-04 17:48:50,2025-01-05 17:48:50,1,46.67,394,Full-to-Full,Cancelled
72498,475,Debramouth,Baileyville,Hatchback,Avis,2025-01-12 11:17:54,2025-01-14 11:17:54,2,215.19,353,Full-to-Full,Confirmed
90949,587,East Alanhaven,Lake Jonathan,SUV,Budget,2025-01-28 06:35:02,2025-02-01 06:35:02,4,122.22,122,Prepaid,Cancelled
16428,932,South Erika,Mitchellborough,Luxury,Budget,2025-01-12 16:53:57,2025-01-15 16:53:57,3,597.25,383,Prepaid,Confirmed
42215,6,Port Sydneyfurt,Marcusmouth,Luxury,Sixt,2025-01-17 18:41:00,2025-01-21 18:41:00,4,621.45,486,Full-to-Full,Pending
53477,1138,Jacobstad,Roberttown,SUV,Enterprise,2025-01-14 04:38:23,2025-01-15 04:38:23,1,140.12,379,Full-to-Full,Cancelled
45460,243,Weavershire,South Alexandra,SUV,Sixt,2025-01-05 20:32:09,2025-01-06 20:32:09,1,61.63,347,Prepaid,Cancelled
10429,1259,Ayersborough,New Sarah,SUV,Budget,2025-01-11 15:14:03,2025-01-16 15:14:03,5,744.07,467,Full-to-Full,Cancelled
130645,538,Port Daniel,Erinhaven,Sedan,Hertz,2025-01-13 14:14:43,2025-01-18 14:14:43,5,266.84,201,Full-to-Full,Confirmed
7626,76,East David,South Danielle,Luxury,Budget,2025-01-24 21:24:19,2025-01-26 21:24:19,2,99.55,423,Full-to-Full,Cancelled
26345,650,West Heather,West Leah,Sedan,Avis,2025-01-22 09:07:39,2025-01-26 09:07:39,4,310.39,230,Partial,Pending
33873,1330,Port Kaitlynton,Caseymouth,Luxury,Sixt,2025-01-10 02:57:30,2025-01-14 02:57:30,4,471.48,169,Partial,Confirmed
18051,290,Leeshire,Dianeside,Sedan,Hertz,2025-01-15 03:23:48,2025-01-17 03:23:48,2,122.96,68,Prepaid,Cancelled
34484,46,Ryanville,Dixonhaven,Sedan,Enterprise,2025-01-12 11:38:34,2025-01-15 11:38:34,3,520.93,240,Prepaid,Cancelled
68834,929,West Samantha,North Gregorymouth,Sedan,Hertz,2025-01-09 00:02:48,2025-01-10 00:02:48,1,187.36,473,Partial,Confirmed
51920,587,Kimberlyburgh,Lisaview,Sedan,Sixt,2025-01-03 22:31:30,2025-01-06 22:31:30,3,324.73,323,Full-to-Full,Cancelled
67194,467,Jasminetown,Davidville,SUV,Budget,2025-01-04 03:35:51,2025-01-05 03:35:51,1,163.52,247,Full-to-Full,Pending
8109,962,Loganfort,Ashleyville,Hatchback,Sixt,2025-01-02 05:49:37,2025-01-03 05:49:37,1,151.76,218,Prepaid,Confirmed
39206,1024,Rickview,Anthonystad,Hatchback,Enterprise,2025-01-10 08:10:39,2025-01-15 08:10:39,5,575.0,457,Full-to-Full,Confirmed
35414,1222,Lake Christychester,Justinberg,Sedan,Avis,2025-01-12 12:45:53,2025-01-17 12:45:53,5,556.63,392,Partial,Cancelled
127195,126,Carrollmouth,Johnview,Sedan,Enterprise,2025-01-26 14:07:26,2025-01-30 14:07:26,4,475.37,484,Partial,Cancelled
108392,548,South William,Brentmouth,Sedan,Avis,2025-01-08 04:32:24,2025-01-11 04:32:24,3,545.06,301,Partial,Cancelled
64581,716,Harrisland,New Brentville,Luxury,Budget,2025-01-08 19:25:40,2025-01-11 19:25:40,3,344.67,86,Partial,Confirmed
73305,828,East Mary,North Dianeland,Sedan,Enterprise,2025-01-30 10:31:23,2025-02-04 10:31:23,5,186.6,124,Full-to-Full,Cancelled
37866,1213,North Kimberly,North Amber,Sedan,Enterprise,2025-01-20 10:47:27,2025-01-21 10:47:27,1,88.76,290,Partial,Confirmed
90074,13,North Teresa,Kevinhaven,Luxury,Enterprise,2025-01-10 04:31:27,2025-01-12 04:31:27,2,299.95,213,Prepaid,Pending
59151,943,Velazquezstad,North Jessica,Luxury,Enterprise,2025-01-27 14:32:08,2025-01-30 14:32:08,3,123.49,491,Partial,Confirmed
45901,1173,Mccannton,East Jessica,SUV,Enterprise,2025-01-24 03:26:31,2025-01-29 03:26:31,5,526.58,91,Full-to-Full,Pending
90159,647,Lake Lori,South Amberview,Luxury,Enterprise,2025-01-06 01:38:45,2025-01-10 01:38:45,4,731.63,128,Full-to-Full,Pending
70290,1076,Millerview,Lake Jonathan,Luxury,Hertz,2025-01-04 13:48:26,2025-01-07 13:48:26,3,452.96,357,Partial,Pending
88560,1184,New Rachelmouth,Mcgrathstad,SUV,Hertz,2025-01-05 16:10:01,2025-01-09 16:10:01,4,601.65,277,Partial,Pending
129653,199,South Tammy,Joshuahaven,Hatchback,Budget,2025-01-05 04:23:44,2025-01-07 04:23:44,2,327.02,290,Full-to-Full,Pending
