user_id,Pickup_Location,rental_date,duration,return_date,car_id,total_amount
0,Visakhapatnam,2019-09-26,3,2019-09-29,9818,28350
0,Shillong,2019-10-10,3,2019-10-13,6755,25200
0,Ranchi,2019-11-14,6,2019-11-20,331,56400
0,Raigarh,2019-12-12,3,2019-12-15,4288,18600
0,Kolkata,2019-12-26,5,2019-12-31,6287,29500
0,Amritsar,2020-01-09,2,2020-01-11,6972,18600
0,Pune,2020-02-27,1,2020-02-28,1418,9350
0,Mumbai,2020-04-16,5,2020-04-21,10740,44000
0,Mumbai,2020-05-07,2,2020-05-09,10641,17400
0,Raipur,2020-05-14,5,2020-05-19,2619,29250
0,Raigarh,2020-05-21,3,2020-05-24,4306,24600
0,Srinagar,2020-06-18,5,2020-06-23,5396,47500
0,Delhi NCR,2020-06-25,6,2020-07-01,5548,48000
0,Raipur,2020-07-16,1,2020-07-17,2753,8800
0,Ludhiana,2020-07-24,4,2020-07-28,4144,29600
0,Raigarh,2020-08-06,2,2020-08-08,4358,23600
0,Raipur,2020-09-17,1,2020-09-18,2703,5700
0,Indore,2020-10-01,1,2020-10-02,10026,7400
0,Shillong,2020-10-08,4,2020-10-12,6768,32400
0,Khowai,2020-10-15,7,2020-10-22,1091,57400
0,Visakhapatnam,2020-10-29,5,2020-11-03,9901,64500
0,Indore,2020-11-19,3,2020-11-22,10075,19800
0,Gwalior,2020-12-24,5,2020-12-29,1837,59500
0,Ahmedabad,2021-02-18,6,2021-02-24,786,60000
0,Prayagraj,2021-04-15,4,2021-04-19,3757,55200
0,Dhubri,2021-05-21,1,2021-05-22,6129,9900
0,Ahmedabad,2021-05-27,5,2021-06-01,681,46250
1,Chandigarh,2019-10-03,5,2019-10-08,9165,64000
1,Puri,2019-10-17,4,2019-10-21,4710,57000
2,Kullu-Manali,2019-10-31,2,2019-11-02,7489,17500
2,Amritsar,2019-11-07,7,2019-11-14,6891,58800
2,Mysuru,2019-12-05,7,2019-12-12,10246,77350
2,Visakhapatnam,2019-12-26,1,2019-12-27,9819,5950
2,Khowai,2020-01-02,4,2020-01-06,1111,22800
2,Surat,2020-01-09,7,2020-01-16,8578,84700
2,Srinagar,2020-01-23,1,2020-01-24,5213,9400
2,Shimla,2020-02-20,3,2020-02-23,9372,27300
2,Amritsar,2020-02-27,6,2020-03-04,6966,82800
2,Guwahati,2020-03-12,5,2020-03-17,2256,25750
2,Mumbai,2020-04-02,2,2020-04-04,10727,14000
2,Puducherry,2020-04-16,4,2020-04-20,2834,31600
2,Varanasi,2020-04-23,2,2020-04-25,5952,12600
2,Kullu-Manali,2020-07-02,2,2020-07-04,7541,27800
2,Mysuru,2020-07-16,1,2020-07-17,10271,5050
2,Hyderabad,2020-10-15,5,2020-10-20,814,49750
2,Khowai,2020-11-05,2,2020-11-07,1195,18200
2,Mopa,2020-11-27,1,2020-11-28,3490,11650
2,Srinagar,2020-12-24,2,2020-12-26,5379,17000
2,Diu,2021-01-28,3,2021-01-31,8936,20700
2,Bengaluru,2021-04-22,6,2021-04-28,2156,54000
2,Gangtok,2021-05-13,4,2021-05-17,6552,25200
2,Udaipur,2021-07-01,4,2021-07-05,8639,19800
2,Kota,2021-07-08,6,2021-07-14,8273,42300
2,Jaipur,2021-07-15,4,2021-07-19,7294,43600
2,Thiruvananthapuram,2021-08-05,5,2021-08-10,8100,38500
2,Bhubaneswar,2021-09-09,6,2021-09-15,7809,47400
2,Ranchi,2021-11-07,1,2021-11-08,310,14300
2,Dabolim,2021-11-04,4,2021-11-08,431,20000
2,Raigarh,2021-12-16,4,2021-12-20,4349,41200
2,Vadodara,2021-12-30,7,2022-01-06,3937,76300
2,Ludhiana,2022-01-06,3,2022-01-09,4185,32100
2,Varanasi,2022-02-10,1,2022-02-11,5949,10300
2,Mumbai,2022-02-24,3,2022-02-27,10674,24600
2,Ayodhya,2022-03-17,1,2022-03-18,7794,10500
2,Guwahati,2022-03-24,3,2022-03-27,2283,22800
3,Dehradun,2019-11-14,3,2019-11-17,5066,22950
3,Varanasi,2019-11-28,1,2019-11-29,5982,20500
3,Dhubri,2019-12-19,6,2019-12-25,6075,39300
3,Coimbatore,2019-12-26,4,2019-12-30,16,19600
3,Udaipur,2020-01-02,4,2020-01-06,8694,43600
3,Mopa,2020-01-09,3,2020-01-12,3560,18900
3,Kota,2020-01-23,3,2020-01-26,8238,29550
3,Gwalior,2020-01-30,1,2020-01-31,1893,10200
3,Prayagraj,2020-02-13,7,2020-02-20,3626,51450
3,Varanasi,2020-02-28,5,2020-03-04,5938,56500
3,Nashik,2020-04-16,1,2020-04-17,3296,5700
3,Ayodhya,2020-05-14,4,2020-05-18,7667,28200
3,Srinagar,2020-06-11,1,2020-06-12,5246,11100
3,Udaipur,2020-07-23,3,2020-07-26,8713,23700
3,Patna,2020-10-03,6,2020-10-09,10534,70800
3,Jamshedpur,2020-10-01,2,2020-10-03,3189,22000
3,Puducherry,2020-10-30,6,2020-11-05,2888,36900
3,Nashik,2020-11-26,6,2020-12-02,3233,41100
3,Srinagar,2020-12-17,7,2020-12-24,5367,52500
3,Kolkata,2020-12-24,3,2020-12-27,6326,39000
3,Kota,2021-01-21,6,2021-01-27,8341,82800
3,Nashik,2021-01-28,3,2021-01-31,3220,19950
3,Dehradun,2021-02-18,1,2021-02-19,5063,5150
3,Guwahati,2021-02-25,6,2021-03-03,2354,59400
3,Patna,2021-03-18,4,2021-03-22,10567,30000
3,Gwalior,2021-04-01,5,2021-04-06,1888,31000
3,Raipur,2021-04-08,5,2021-04-13,2761,56000
3,Pune,2021-04-15,2,2021-04-17,1569,21400
3,Varanasi,2021-05-13,2,2021-05-15,5878,20100
3,Imphal,2021-06-10,1,2021-06-11,9580,9300
3,Khowai,2021-07-29,7,2021-08-05,1058,66850
3,Srinagar,2021-08-19,5,2021-08-24,5248,28000
3,Coimbatore,2021-12-11,4,2021-12-15,137,43200
3,Mumbai,2021-11-18,3,2021-11-21,10728,22500
3,Gwalior,2022-01-21,7,2022-01-28,1828,41300
3,Visakhapatnam,2022-02-10,2,2022-02-12,9967,15600
3,Gwalior,2022-05-12,4,2022-05-16,1840,17600
3,Raipur,2022-06-23,6,2022-06-29,2761,67200
3,Navi Mumbai,2022-07-21,1,2022-07-22,1202,7400
3,Raigarh,2022-08-18,3,2022-08-21,4360,18900
3,Kolkata,2022-09-22,4,2022-09-26,6358,48000
3,Imphal,2022-09-29,1,2022-09-30,9557,13800
3,Vijayawada,2022-10-13,7,2022-10-20,1733,79800
3,Vijayawada,2022-10-27,3,2022-10-30,1695,18750
3,Surat,2022-11-03,6,2022-11-09,8542,119400
3,Jamshedpur,2022-12-15,2,2022-12-17,3056,10300
3,Ludhiana,2023-01-05,6,2023-01-11,4157,83400
3,Chandigarh,2023-01-12,2,2023-01-14,9112,10800
3,Kolkata,2023-02-16,3,2023-02-19,6292,22200
3,Jaipur,2023-02-23,6,2023-03-01,7302,113400
3,Udaipur,2023-03-09,2,2023-03-11,8714,17800
3,Diu,2023-03-23,7,2023-03-30,8808,37800
3,Jamshedpur,2023-03-30,2,2023-04-01,3028,11800
3,Bengaluru,2023-04-06,7,2023-04-13,2050,78400
3,Udaipur,2023-04-20,2,2023-04-22,8623,9900
3,Hyderabad,2023-06-11,4,2023-06-15,888,25600
3,Vadodara,2023-05-25,6,2023-05-31,3934,71400
3,Bhubaneswar,2023-06-01,6,2023-06-07,7931,56400
3,Imphal,2023-06-08,4,2023-06-12,9495,24800
3,Ludhiana,2023-07-13,2,2023-07-15,4172,18400
4,Vijayawada,2019-10-03,2,2019-10-05,1714,17500
4,Itanagar,2019-11-07,2,2019-11-09,5616,9800
4,Imphal,2019-11-14,6,2019-11-20,9553,52800
4,Bilaspur,2020-01-09,3,2020-01-12,2515,21300
4,Indore,2020-01-23,4,2020-01-27,10127,27600
4,Hyderabad,2020-02-14,5,2020-02-19,914,44500
4,Kullu-Manali,2020-02-27,3,2020-03-01,7511,17250
4,Puducherry,2020-03-19,3,2020-03-22,2819,17700
4,Srinagar,2020-04-02,6,2020-04-08,5312,31500
4,Surat,2020-04-30,4,2020-05-04,8559,27600
4,Dabolim,2020-05-07,4,2020-05-11,461,48800
4,Patna,2020-07-23,5,2020-07-28,10521,51500
4,Vadodara,2020-08-27,4,2020-08-31,3807,19600
4,Mysuru,2020-10-22,2,2020-10-24,10270,27100
4,Patna,2020-11-26,1,2020-11-27,10488,6250
4,Khowai,2020-12-24,5,2020-12-29,1197,73000
4,Patna,2020-12-31,6,2021-01-06,10443,41400
4,Srinagar,2021-01-21,4,2021-01-25,5256,20400
4,Kota,2021-02-19,1,2021-02-20,8282,8200
4,Tirupati,2021-03-04,3,2021-03-07,4999,22500
4,Kota,2021-03-11,2,2021-03-13,8371,20000
4,Mumbai,2021-05-08,4,2021-05-12,10607,19800
4,Puducherry,2021-06-10,4,2021-06-14,2847,20200
4,Hisar,2021-08-01,3,2021-08-04,9765,37800
4,Khowai,2021-09-23,2,2021-09-25,1012,12700
4,Coimbatore,2021-10-15,7,2021-10-22,172,63000
4,Amritsar,2021-11-18,5,2021-11-23,6857,46000
4,Patna,2021-12-16,1,2021-12-17,10584,8000
4,Mumbai,2021-12-30,7,2022-01-06,10659,43400
4,Puri,2022-01-13,3,2022-01-16,4687,17250
4,Dabolim,2022-02-03,6,2022-02-09,533,68400
4,Shillong,2022-03-24,5,2022-03-29,6626,37000
4,Ayodhya,2022-03-31,4,2022-04-04,7712,20800
4,Kota,2022-04-07,2,2022-04-09,8302,37400
4,Udaipur,2022-04-21,7,2022-04-28,8757,98000
4,Hyderabad,2022-05-12,1,2022-05-13,1000,7300
4,Pune,2022-05-26,4,2022-05-30,1533,46000
4,Imphal,2022-06-02,3,2022-06-05,9482,24600
4,Hyderabad,2022-08-04,7,2022-08-11,882,58800
4,Pune,2022-10-01,4,2022-10-05,1484,29000
4,Itanagar,2022-09-23,7,2022-09-30,5763,65800
4,Mumbai,2022-09-29,7,2022-10-06,10665,57400
4,Jamshedpur,2022-10-27,2,2022-10-29,3034,15800
4,Varanasi,2022-11-03,3,2022-11-06,5867,21150
4,Bhopal,2022-11-10,7,2022-11-17,7005,69300
4,Tirupati,2022-12-01,7,2022-12-08,4822,124950
4,Vadodara,2023-01-05,5,2023-01-10,3819,29500
4,Mysuru,2023-01-19,7,2023-01-26,10355,58100
4,Shillong,2023-03-02,3,2023-03-05,6745,29700
4,Gwalior,2023-03-09,7,2023-03-16,1940,60200
4,Vijayawada,2023-04-06,2,2023-04-08,1693,20500
4,Dehradun,2023-06-15,4,2023-06-19,5144,29600
4,Jamshedpur,2023-06-29,5,2023-07-04,3033,34500
4,Nashik,2023-07-13,1,2023-07-14,3381,14600
5,Nashik,2019-09-26,4,2019-09-30,3301,50800
5,Visakhapatnam,2020-01-02,6,2020-01-08,9988,52800
5,Mopa,2020-03-06,3,2020-03-09,3431,14850
5,Nashik,2020-02-13,4,2020-02-17,3300,30000
5,Bhopal,2020-02-27,3,2020-03-01,7140,25800
5,Mysuru,2020-03-12,4,2020-03-16,10300,30000
5,Srinagar,2020-05-21,3,2020-05-24,5290,35250
5,Hisar,2020-07-30,3,2020-08-02,9634,23700
