travelCode,user_id,Pickup_Location,rental_date,duration,return_date,Car_Id,total_amount,Duration_Hours,Total_Minutes,Days,Hours,Formatted_Duration,Duration_Days
0,0,Visakhapatnam,26-09-2019 05:48,5,01-10-2019 05:48,9818,50350,120,7200,5,0,5 days 0 hours,5
2,0,Shillong,10-10-2019 02:43,0,10-10-2019 05:43,6755,8876,3,180,0,3,0 days 3 hours,0.125
7,0,Ranchi,14-11-2019 02:59,6,20-11-2019 02:59,331,57288,144,8640,6,0,6 days 0 hours,6
11,0,Raigarh,12-12-2019 19:40,4,16-12-2019 19:40,4288,25040,96,5760,4,0,4 days 0 hours,4
13,0,Kolkata,26-12-2019 20:26,6,01-01-2020 20:26,6287,37320,144,8640,6,0,6 days 0 hours,6
15,0,Amritsar,01-09-2020 11:57,6,07-09-2020 11:57,6972,57648,144,8640,6,0,6 days 0 hours,6
22,0,Pune,27-02-2020 19:40,2,29-02-2020 19:40,1418,19940,48,2880,2,0,2 days 0 hours,2
29,0,Mumbai,16-04-2020 22:50,2,18-04-2020 22:50,10740,18960,48,2880,2,0,2 days 0 hours,2
32,0,Mumbai,05-07-2020 19:01,5,10-07-2020 19:01,10641,39240,120,7200,5,0,5 days 0 hours,5
33,0,Raipur,14-05-2020 18:48,4,18-05-2020 18:48,2619,28264,96,5760,4,0,4 days 0 hours,4
34,0,Raigarh,21-05-2020 10:19,3,24-05-2020 10:19,4306,24540,72,4320,3,0,3 days 0 hours,3
38,0,Srinagar,18-06-2020 20:22,1,19-06-2020 20:22,5396,9716,24,1440,1,0,1 days 0 hours,1
39,0,Delhi NCR,25-06-2020 15:18,2,27-06-2020 15:18,5548,17616,48,2880,2,0,2 days 0 hours,2
42,0,Raipur,16-07-2020 03:31,2,18-07-2020 03:31,2753,18032,48,2880,2,0,2 days 0 hours,2
43,0,Ludhiana,24-07-2020 01:58,1,25-07-2020 01:58,4144,7460,24,1440,1,0,1 days 0 hours,1
45,0,Raigarh,08-06-2020 06:47,4,12-06-2020 06:47,4358,64288,96,5760,4,0,4 days 0 hours,4
51,0,Raipur,17-09-2020 03:46,2,19-09-2020 03:46,2703,12040,48,2880,2,0,2 days 0 hours,2
53,0,Indore,10-01-2020 10:40,1,11-01-2020 10:40,10026,7380,24,1440,1,0,1 days 0 hours,1
54,0,Shillong,10-08-2020 19:38,2,12-08-2020 19:38,6768,16320,48,2880,2,0,2 days 0 hours,2
55,0,Khowai,15-10-2020 15:19,6,21-10-2020 15:19,1091,50088,144,8640,6,0,6 days 0 hours,6
57,0,Visakhapatnam,29-10-2020 21:48,4,02-11-2020 21:48,9901,50800,96,5760,4,0,4 days 0 hours,4
60,0,Indore,19-11-2020 20:01,4,23-11-2020 20:01,10075,28304,96,5760,4,0,4 days 0 hours,4
65,0,Gwalior,24-12-2020 02:49,5,29-12-2020 02:49,1837,62580,120,7200,5,0,5 days 0 hours,5
73,0,Ahmedabad,18-02-2021 15:57,4,22-02-2021 15:57,786,39920,96,5760,4,0,4 days 0 hours,4
81,0,Prayagraj,15-04-2021 06:48,4,19-04-2021 06:48,3757,57664,96,5760,4,0,4 days 0 hours,4
86,0,Dhubri,21-05-2021 01:29,7,28-05-2021 01:29,6129,69692,168,10080,7,0,7 days 0 hours,7
87,0,Ahmedabad,27-05-2021 05:13,5,01-06-2021 05:13,681,41990,120,7200,5,0,5 days 0 hours,5
